,id,sentiment_score
337,106_46,3.3846153846153846
338,106_47,3.6206896551724137
339,106_48,3.76
340,106_49,2.3636363636363638
341,106_5,3.4054054054054053
342,106_50,3.473684210526316
343,106_6,3.3518518518518516
344,106_7,4.25
345,106_8,4.1
346,106_9,3.0980392156862746
347,107_1,3.8076923076923075
348,107_10,2.8333333333333335
349,107_11,3.5365853658536586
350,107_12,2.9
351,107_13,4.535714285714286
352,107_14,3.1132075471698113
353,107_15,3.810810810810811
354,107_16,4.020408163265306
355,107_17,3.5813953488372094
356,107_18,3.3333333333333335
357,107_19,3.611111111111111
358,107_2,3.66
359,107_20,4.085714285714285
360,107_21,3.5161290322580645
361,107_22,3.7096774193548385
362,107_23,2.6
363,107_24,3.4130434782608696
364,107_25,2.9767441860465116
365,107_26,3.236842105263158
366,107_27,3.3728813559322033
367,107_28,3.5675675675675675
368,107_29,3.142857142857143
369,107_3,4.125
370,107_30,4.230769230769231
371,107_31,3.6333333333333333
372,107_32,4.066666666666666
373,107_33,3.56140350877193
374,107_34,3.575
375,107_35,3.625
376,107_36,3.739130434782609
377,107_37,3.473684210526316
378,107_38,4.0
379,107_39,3.923076923076923
380,107_4,3.3684210526315788
381,107_40,3.933333333333333
382,107_41,3.5952380952380953
383,107_42,3.0
384,107_43,3.6344086021505375
385,107_44,2.9642857142857144
386,107_45,3.7758620689655173
387,107_46,3.5555555555555554
388,107_47,3.36
389,107_48,3.1724137931034484
390,107_49,3.0144927536231885
391,107_5,3.2325581395348837
392,107_50,3.2
393,107_6,4.0
394,107_7,3.0
395,107_8,3.533333333333333
396,107_9,3.6
397,108_1,2.9615384615384617
398,108_10,3.1555555555555554
399,108_11,4.5
400,108_12,2.92
401,108_13,3.393939393939394
402,108_14,4.0344827586206895
403,108_15,3.037037037037037
404,108_16,4.625
405,108_17,3.5636363636363635
406,108_18,3.272727272727273
407,108_19,3.462686567164179
408,108_2,3.35
409,108_20,3.263157894736842
410,108_21,3.6363636363636362
411,108_22,3.8846153846153846
412,108_23,3.4054054054054053
413,108_24,2.652173913043478
414,108_25,3.782608695652174
415,108_26,3.7333333333333334
416,108_27,3.25
417,108_28,3.8
418,108_29,3.76271186440678
419,108_3,3.32
420,108_30,3.6206896551724137
421,108_31,3.311111111111111
422,108_32,3.46875
423,108_33,3.488095238095238
424,108_34,3.260869565217391
425,108_35,3.230769230769231
426,108_36,3.923076923076923
427,108_37,3.09375
428,108_38,3.0
429,108_39,3.5652173913043477
430,108_4,3.96
431,108_40,3.3620689655172415
432,108_41,4.4
433,108_42,3.391304347826087
434,108_43,3.4
435,108_44,3.823529411764706
436,108_45,3.338709677419355
437,108_46,3.871794871794872
438,108_47,3.5652173913043477
439,108_48,3.3773584905660377
440,108_49,3.7142857142857144
441,108_5,3.5294117647058822
442,108_50,3.4583333333333335
443,108_6,3.264705882352941
444,108_7,3.6875
445,108_8,3.9454545454545453
446,108_9,4.0
447,109_1,3.8
448,109_10,3.8666666666666667
449,109_11,3.4893617021276597
450,109_12,3.027027027027027
451,109_13,3.1702127659574466
452,109_14,3.7083333333333335
453,109_15,3.4074074074074074
454,109_16,3.617021276595745
455,109_17,3.16
456,109_18,2.7142857142857144
457,109_19,4.409090909090909
458,109_2,3.2545454545454544
459,109_20,2.4642857142857144
460,109_21,3.051546391752577
461,109_22,3.9473684210526314
462,109_23,3.635135135135135
463,109_24,3.4193548387096775
464,109_25,2.857142857142857
465,109_26,3.75
466,109_27,3.45
