,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,sentiment_score,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders
89,0,42,37,49400,0,5,7,5,7,2,2,1,0,4.0,1,0.1764705882352941,2011,BMW M3,1,30500,12339,76,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21
90,1,20,37,92200,1,4,8,1,8,4,2,1,0,2.0,0,0.3571428571428571,1998,BMW M3,1,17500,11117,129,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
91,1,20,29,7500,1,6,9,5,2,0,5,1,0,1.0,1,0.5384615384615384,2015,BMW M3,1,50000,8819,84,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14
92,1,19,25,78900,1,7,8,15,8,4,3,1,2,3.0,1,0.55,2004,BMW M3,1,24000,9743,90,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
93,1,17,43,106000,1,7,14,5,5,3,4,1,0,1.0,1,0.21875,2003,BMW M3,1,23000,11693,75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
94,1,22,37,69700,1,6,15,5,6,5,4,1,2,7.0,0,0.5357142857142857,2011,BMW M3,1,30500,17132,113,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
95,1,36,36,42000,1,5,13,0,3,2,2,1,0,1.0,1,0.28125,2016,BMW M3,1,44869,11843,97,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16
96,1,31,52,88400,1,5,10,1,4,3,5,1,0,0.0,1,0.0909090909090909,2006,BMW M3,1,18773,11048,93,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14
97,0,5,46,158800,1,4,10,15,13,12,4,1,0,5.0,1,0.4,1999,BMW M3,1,7200,11324,137,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
98,0,13,17,205700,1,5,9,3,7,4,2,1,0,1.0,1,0.3076923076923077,1998,BMW M3,1,9300,15507,85,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
99,1,57,62,97000,1,5,10,10,11,3,4,1,0,3.0,1,-0.0535714285714285,2008,BMW M3,1,17500,14707,91,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
100,0,29,28,63700,0,6,13,0,9,2,5,1,0,1.0,1,0.25,1999,BMW M3,1,10100,7139,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
101,0,8,28,83100,1,7,7,3,8,0,4,1,0,1.0,1,0.2857142857142857,2004,BMW M3,1,16500,7195,110,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
102,0,29,99,94400,1,4,7,9,8,0,1,1,0,0.0,1,0.0434782608695652,1995,BMW M3,1,9750,16729,121,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16
103,1,22,31,50400,1,6,17,4,15,1,8,1,0,2.0,1,0.4615384615384615,2008,BMW M3,1,28760,12074,212,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
104,1,37,26,99100,1,5,14,7,6,7,8,1,0,2.0,1,0.3809523809523809,2008,BMW M3,1,24250,11032,99,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13
105,1,26,32,78900,1,6,10,3,7,7,2,1,0,3.0,0,0.2068965517241379,2009,BMW M3,1,23250,10329,111,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
106,0,17,8,173100,1,5,12,13,9,2,2,1,3,2.0,1,0.5714285714285714,2004,BMW M3,1,14100,14194,204,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
107,1,29,76,88800,1,4,11,0,5,2,3,1,0,1.0,1,0.0701754385964912,2013,BMW M3,1,24069,11520,98,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
108,1,35,49,125200,1,5,12,0,8,0,4,1,0,10.0,1,0.4482758620689655,2005,BMW M3,1,17000,9348,148,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
109,1,26,30,121900,1,5,12,24,5,4,5,1,2,3.0,1,0.4814814814814814,2003,BMW M3,1,18333,12160,86,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
110,1,16,119,239900,1,5,8,19,13,0,3,1,2,3.0,0,0.0459770114942528,1990,BMW M3,1,41150,18089,123,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
